Reading,Name,PlasticType,Color,MeasurementType,DateTime,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
53,C02A,PVC,white,regular,2023-05-23 16:12:11.375019,121707.0,182386.0,307330.0,353886.0,180147.0,193966.0,70691.0,45236.0,-0.6016334384616303,0.0046700023176754,1.2531081292599384,1.718294816399169,-0.0177020440889045,0.1203771471985133,-1.1113843627484028,-1.3657302498763586,1.6928041000516234,1.4304047355208354,-0.8605001909998915,0.5102096028154431,-0.6200820929151938,-0.5241495206295312,-0.5884699493327364,-1.0402166845105465,measurement4.csv
54,C02A,PVC,white,regular,2023-05-23 16:12:12.644178,119464.0,182432.0,305269.0,358848.0,175835.0,196659.0,68977.0,44911.0,-0.6124881692084099,0.0087073223017107,1.2205258744334075,1.749096469650355,-0.0563737769469912,0.1490603310952961,-1.1105553903345606,-1.3479726609908076,1.5125831646579366,1.4758791360812007,-0.8441937689335551,0.7173905972800643,-0.7743357582451325,-0.3161152592422743,-0.7469556764668615,-1.0242524351313804,measurement4.csv
55,C02A,PVC,white,regular,2023-05-23 16:12:13.971867,121952.0,187249.0,302741.0,356363.0,175794.0,197743.0,70126.0,45663.0,-0.602504619305259,0.0504500667816967,1.2053429807831777,1.7415504049734885,-0.0640972467108998,0.1553876056547922,-1.120752464706159,-1.3653767274708373,1.546057812936116,1.5714493000603134,-0.9458614896669536,0.5098812898436147,-0.8112403166308199,-0.3321617927740649,-0.6381746921059803,-0.8999501116622243,measurement4.csv
56,C03A,PVC,white,regular,2023-05-23 16:12:35.048667,128410.0,198615.0,383339.0,409497.0,222786.0,236331.0,87458.0,57936.0,-0.7255623665189598,-0.1409840791025089,1.3971633400943642,1.6149740208470102,0.0602813832597592,0.1730669811951744,-1.0665587346733434,-1.312380545101496,1.2623631066268894,1.5983825594582597,-1.1094745115426643,0.8845615406317561,-0.5727761868893939,-0.7398415386313708,-0.4526304774673184,-0.8705844921861575,measurement4.csv
57,C03A,PVC,white,regular,2023-05-23 16:12:36.265271,127947.0,198852.0,378673.0,410510.0,216254.0,231385.0,84498.0,57432.0,-0.711149142870197,-0.1196432375192815,1.3804651244595207,1.6460567401235373,0.0255282703421757,0.1517545710806949,-1.07361074757497,-1.2994015780414798,1.1894116447775027,1.5712009033250018,-0.8140340492681316,1.0624056378814846,-0.8401648714811438,-0.7546424245365477,-0.8651393920691508,-0.5490374486289931,measurement4.csv
58,C03A,PVC,white,regular,2023-05-23 16:12:37.547854,129937.0,200327.0,381628.0,416512.0,221301.0,237219.0,87028.0,58239.0,-0.71510379605473,-0.133766772351167,1.3635621626464132,1.6516621872930262,0.0394533261736025,0.1709169253114533,-1.0694807011562528,-1.3072433318623455,1.2641772124213293,1.4488200218487877,-1.1381819980065075,1.098416482984835,-0.7595205856635595,-0.615614513525733,-0.614268126080258,-0.683828493978909,measurement4.csv
59,C03A,PVC,white,regular,2023-05-23 16:12:38.845578,129122.0,199970.0,390789.0,418165.0,219168.0,241728.0,88051.0,59438.0,-0.7259358990401666,-0.1492368043508284,1.4040200913911098,1.6268593305540406,0.007033933282498,0.1906711788814066,-1.0602517374263711,-1.293160093291689,1.0436841984250205,1.416642286547782,-0.842062957638785,1.1969423762570852,-1.4535537127167606,-0.366249197648586,-0.5970403591565725,-0.3983626340691836,measurement4.csv
60,C04A,PVC,transparent,regular,2023-05-23 16:13:00.426577,100034.0,156654.0,313447.0,366612.0,219046.0,236321.0,89134.0,62174.0,-0.9008257861836644,-0.3517602568695924,1.1687206957574174,1.684281784877563,0.2532785369305416,0.4208007379001741,-1.0065272038721735,-1.267968508540266,-1.1966195510760864,-0.9991696670274474,-1.391793400391735,0.0166481050419994,0.5378712649778474,0.6637869046605436,0.9658439209190612,1.4034324228958253,measurement4.csv
61,C04A,PVC,transparent,regular,2023-05-23 16:13:01.626186,98726.0,157630.0,306874.0,359911.0,211606.0,238525.0,88024.0,60138.0,-0.903352013290054,-0.3215132378409875,1.1526811496899183,1.6765671868604357,0.2116480032230966,0.4775470592517776,-1.009063655536012,-1.2845144923581746,-1.217690632683729,-0.8302303813595235,-1.4911576330346117,-0.0186567408097673,0.3429571400855811,0.9569609061941796,1.0245426647133449,1.2332746768945286,measurement4.csv
62,C04A,PVC,transparent,regular,2023-05-23 16:13:02.773456,98954.0,157143.0,306562.0,359191.0,214880.0,237305.0,85943.0,60132.0,-0.8987033263540767,-0.3244139410085495,1.150259032731218,1.669674662168908,0.2454144843243261,0.4667353433590827,-1.0271138368067507,-1.2818524184141578,-1.2039592730113853,-0.8578395509208846,-1.5160989621697551,-0.0146594773604373,0.5489893836146467,0.9497772681000252,0.8015622208707281,1.2922283908770584,measurement4.csv
