Reading,Name,PlasticType,Color,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,SourceFile
1,A01C,PET,white,27684.0,41790.0,83570.0,88409.0,43331.0,49554.0,14403.0,9208.0,measurement2.csv
2,A01C,PET,white,27947.0,41636.0,84092.0,89146.0,43397.0,49066.0,14416.0,9238.0,measurement2.csv
3,A01C,PET,white,28022.0,41727.0,84600.0,89394.0,43602.0,49314.0,14695.0,9309.0,measurement2.csv
4,A01C,PET,white,27813.0,41994.0,84062.0,89009.0,43427.0,49492.0,14901.0,9286.0,measurement2.csv
5,A02C,PET,white,27550.0,42015.0,86188.0,90949.0,45070.0,50757.0,15798.0,9710.0,measurement2.csv
6,A02C,PET,white,27806.0,42122.0,87328.0,92136.0,45641.0,50888.0,15489.0,9972.0,measurement2.csv
7,A02C,PET,white,27626.0,41807.0,86233.0,91320.0,45341.0,50775.0,15782.0,9725.0,measurement2.csv
8,A02C,PET,white,27642.0,41440.0,86161.0,91032.0,45091.0,50275.0,15458.0,9538.0,measurement2.csv
9,A03C,PET,transparent,28649.0,43140.0,94048.0,95775.0,50448.0,56013.0,18871.0,12471.0,measurement2.csv
10,A03C,PET,transparent,28694.0,42598.0,94477.0,96152.0,50560.0,55883.0,19013.0,12396.0,measurement2.csv
11,A03C,PET,transparent,29133.0,43486.0,95002.0,96181.0,50428.0,56685.0,19006.0,12460.0,measurement2.csv
12,A03C,PET,transparent,28736.0,43337.0,95129.0,96454.0,50615.0,56123.0,18916.0,12460.0,measurement2.csv
13,A04C,PET,transparent,25272.0,39714.0,68410.0,79308.0,36974.0,43061.0,11384.0,7159.0,measurement2.csv
14,A04C,PET,transparent,24841.0,39013.0,67933.0,79155.0,36316.0,42355.0,11748.0,6890.0,measurement2.csv
15,A04C,PET,transparent,25014.0,39133.0,68106.0,78743.0,36591.0,42427.0,11782.0,7375.0,measurement2.csv
16,A04C,PET,transparent,25120.0,39335.0,68951.0,79636.0,36856.0,42645.0,11762.0,7097.0,measurement2.csv
17,A05C,PET,green,5862.0,8045.0,18069.0,18747.0,10705.0,12902.0,4941.0,3264.0,measurement2.csv
18,A05C,PET,green,5363.0,8089.0,18609.0,18727.0,10814.0,12237.0,4597.0,3233.0,measurement2.csv
19,A05C,PET,green,5658.0,8245.0,18387.0,18638.0,10537.0,12411.0,4592.0,3655.0,measurement2.csv
20,A05C,PET,green,5587.0,7986.0,18452.0,18710.0,10556.0,12410.0,4749.0,3326.0,measurement2.csv
21,B01C,HDPE,white,24028.0,36745.0,64774.0,70811.0,33534.0,37913.0,14460.0,9842.0,measurement2.csv
22,B01C,HDPE,white,23961.0,36446.0,63956.0,69848.0,33953.0,38059.0,14193.0,9752.0,measurement2.csv
23,B01C,HDPE,white,24045.0,36281.0,64028.0,70586.0,33825.0,38298.0,14524.0,9663.0,measurement2.csv
24,B01C,HDPE,white,24006.0,36712.0,64822.0,70812.0,33941.0,38579.0,14251.0,9794.0,measurement2.csv
25,B02C,HDPE,transparent,21209.0,33508.0,59703.0,67755.0,35842.0,41947.0,15723.0,11095.0,measurement2.csv
26,B02C,HDPE,transparent,21474.0,33518.0,59344.0,68409.0,35579.0,41848.0,16104.0,11338.0,measurement2.csv
27,B02C,HDPE,transparent,21699.0,33673.0,60010.0,68180.0,35353.0,41987.0,15869.0,10962.0,measurement2.csv
28,B02C,HDPE,transparent,21329.0,33845.0,59727.0,67977.0,35744.0,41966.0,15973.0,11197.0,measurement2.csv
29,B03C,HDPE,green,21615.0,34320.0,52544.0,60815.0,29622.0,35880.0,13973.0,9769.0,measurement2.csv
30,B03C,HDPE,green,21308.0,34138.0,52626.0,60018.0,29603.0,35868.0,13912.0,9583.0,measurement2.csv
31,B03C,HDPE,green,21514.0,33753.0,52231.0,60475.0,29128.0,35641.0,13739.0,9692.0,measurement2.csv
32,B03C,HDPE,green,21288.0,33968.0,52488.0,60510.0,29651.0,35354.0,13892.0,9375.0,measurement2.csv
33,B04C,HDPE,yellow,23803.0,36326.0,54669.0,62098.0,29129.0,34640.0,13698.0,9364.0,measurement2.csv
34,B04C,HDPE,yellow,23539.0,36732.0,54518.0,62010.0,28622.0,34786.0,13766.0,9581.0,measurement2.csv
35,B04C,HDPE,yellow,23611.0,36498.0,55422.0,62834.0,29381.0,35071.0,13537.0,9488.0,measurement2.csv
36,B04C,HDPE,yellow,23887.0,36640.0,55291.0,62412.0,29168.0,34946.0,13538.0,9427.0,measurement2.csv
37,B05C,HDPE,gray,6709.0,9485.0,18515.0,18884.0,9970.0,10684.0,4088.0,2849.0,measurement2.csv
38,B05C,HDPE,gray,6962.0,9878.0,18402.0,18788.0,9841.0,10869.0,3667.0,2868.0,measurement2.csv
39,B05C,HDPE,gray,6862.0,9818.0,18403.0,18518.0,9926.0,10616.0,3936.0,3209.0,measurement2.csv
40,B05C,HDPE,gray,6731.0,9689.0,18520.0,18647.0,9807.0,10656.0,4015.0,2901.0,measurement2.csv
41,C01C,PVC,transparent,26222.0,38993.0,79913.0,86594.0,44647.0,49139.0,17494.0,11794.0,measurement2.csv
42,C01C,PVC,transparent,25739.0,38715.0,79937.0,86335.0,44266.0,49463.0,17383.0,11640.0,measurement2.csv
43,C01C,PVC,transparent,26018.0,38925.0,79716.0,85878.0,44027.0,49131.0,17347.0,11955.0,measurement2.csv
44,C01C,PVC,transparent,25628.0,38383.0,78558.0,85575.0,43825.0,48983.0,17502.0,11551.0,measurement2.csv
45,C02C,PVC,white,25389.0,38251.0,65597.0,77822.0,34940.0,41084.0,14690.0,9354.0,measurement2.csv
46,C02C,PVC,white,25215.0,38343.0,65998.0,77882.0,35470.0,41065.0,14408.0,9435.0,measurement2.csv
47,C02C,PVC,white,25402.0,37803.0,65391.0,76841.0,35327.0,41429.0,14662.0,9434.0,measurement2.csv
