Reading,Name,PlasticType,Color,MeasurementType,nm940,nm1050,nm1200,nm1300,nm1450,nm1550,nm1650,nm1720,nm940_snv,nm1050_snv,nm1200_snv,nm1300_snv,nm1450_snv,nm1550_snv,nm1650_snv,nm1720_snv,nm940_norm,nm1050_norm,nm1200_norm,nm1300_norm,nm1450_norm,nm1550_norm,nm1650_norm,nm1720_norm,SourceFile
27,6mm pmma,PMMA,transparent,regular,20013.0,32005.0,40197.0,58613.0,20349.0,28183.0,8477.0,5527.0,-0.4112655473,0.3295375234,0.8355964591,1.973240668,-0.3905092238,0.09343434328,-1.123899322,-1.306134901,1.328757706,1.636242155,-0.7040903532,0.6823581373,-0.9942513839,-0.186976302,-0.781344623,-0.9806953365,measurement1.csv
28,6mm pmma,PMMA,transparent,regular,20000.0,31615.0,39859.0,58935.0,20711.0,28008.0,8235.0,5405.0,-0.4058378233,0.3088083741,0.8160441253,1.989749753,-0.3620915085,0.0868773509,-1.129713201,-1.30383707,1.347622242,1.590038625,-0.7049516546,0.7312997908,-0.9149517839,-0.1849599483,-0.8449883644,-1.019108906,measurement1.csv
29,6mm pmma,PMMA,transparent,regular,20142.0,31508.0,40028.0,58805.0,20346.0,27482.0,8292.0,5432.0,-0.3921017685,0.3083644412,0.8334367715,1.990629629,-0.3795296141,0.06024927664,-1.122396031,-1.298652705,1.386670085,1.572260131,-0.6800684059,0.7258246686,-0.9552115242,-0.2456858275,-0.8118626792,-0.9919264478,measurement1.csv
30,3mm pet,PET,transparent,regular,24930.0,39074.0,68856.0,80514.0,36359.0,43251.0,11667.0,7116.0,-0.585450489,0.004299915901,1.24609478,1.732188546,-0.1089051427,0.1784647519,-1.138466582,-1.32822578,1.01666394,1.263579099,-0.01128419204,0.8014810198,-0.2932820011,0.206536,-1.220390545,-1.763303321,measurement1.csv
31,3mm pet,PET,transparent,regular,24800.0,38872.0,68629.0,80487.0,36952.0,43542.0,11540.0,7313.0,-0.5939415013,-0.006052474612,1.237112233,1.732506497,-0.08626473522,0.1890471384,-1.147907426,-1.324499731,0.9976909877,1.250566347,-0.04269257974,0.8097927308,-0.224363436,0.2405640725,-1.316120314,-1.715437809,measurement1.csv
32,3mm pet,PET,transparent,regular,24891.0,38874.0,68867.0,80494.0,36770.0,42836.0,11761.0,6794.0,-0.5839281308,-0.001535844637,1.247673326,1.731938156,-0.08916749522,0.1634815506,-1.130792946,-1.337668616,1.004519503,1.22132994,0.01194128486,0.803011956,-0.2054924139,0.1691694205,-1.134797049,-1.869682642,measurement1.csv
33,3mm pet,PET,transparent,regular,25020.0,38634.0,68229.0,80322.0,36674.0,42732.0,12051.0,6880.0,-0.579551221,-0.007718108885,1.235369959,1.743316031,-0.09004460365,0.1644114705,-1.124292196,-1.341491331,1.061589819,1.207780892,-0.04671406869,0.8059150878,-0.2324386967,0.1532371461,-1.06498432,-1.884385859,measurement1.csv
34,3mm pet,PET,transparent,regular,24948.0,38877.0,68730.0,80363.0,36879.0,43148.0,11703.0,7140.0,-0.5865555257,-0.004035692719,1.24443617,1.730935791,-0.0875933513,0.1745803032,-1.140470034,-1.33129766,1.031063818,1.241393002,-0.02648702187,0.7958155939,-0.224814508,0.1907117723,-1.228308417,-1.77937424,measurement1.csv
35,3mm pet proxy,PET,transparent,regular,23885.98907,38310.83855,68554.07486,80105.34631,36306.91507,42273.46433,11778.10721,6800.308001,-0.5841202508,0.004421426749,1.25544177,1.753254818,-0.09566861662,0.1479123146,-1.127077593,-1.330983382,0.9692632315,1.273383084,0.01179111443,0.86509986,-0.2359241138,0.1672840977,-1.175007474,-1.805064234,measurement1.csv
36,3mm pet proxy,PET,transparent,regular,24645.22225,38573.13552,67993.84197,80144.99356,36156.75125,42144.97914,11657.51529,6913.481997,-0.5763463271,-0.006588264148,1.244867075,1.743960416,-0.09838359575,0.1474271734,-1.139045864,-1.336360428,1.043467941,1.190877592,-0.03134733886,0.8667922699,-0.1971447137,0.2538427051,-1.188187767,-1.852166537,measurement1.csv
