2025-05-04 17:03:50,758  trial=061  score=0.9102  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:03:52,867  trial=062  score=0.9145  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:55,126  trial=063  score=0.9124  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:03:57,315  trial=064  score=0.9060  params={'n_estimators': 400, 'max_depth': 50, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:00,032  trial=065  score=0.9145  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:04,278  trial=066  score=0.9123  params={'n_estimators': 800, 'max_depth': 35, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:06,909  trial=067  score=0.9017  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:12,036  trial=068  score=0.9038  params={'n_estimators': 900, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:14,896  trial=069  score=0.8953  params={'n_estimators': 700, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:04:16,541  trial=070  score=0.6990  params={'n_estimators': 400, 'max_depth': 5, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:19,213  trial=071  score=0.9102  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:22,113  trial=072  score=0.9061  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:25,312  trial=073  score=0.9081  params={'n_estimators': 600, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:27,457  trial=074  score=0.9038  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:30,237  trial=075  score=0.9038  params={'n_estimators': 500, 'max_depth': 25, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:32,567  trial=076  score=0.9081  params={'n_estimators': 400, 'max_depth': 20, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:36,472  trial=077  score=0.9102  params={'n_estimators': 700, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:38,052  trial=078  score=0.9103  params={'n_estimators': 300, 'max_depth': None, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:40,717  trial=079  score=0.9060  params={'n_estimators': 500, 'max_depth': 40, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:04:43,255  trial=080  score=0.9102  params={'n_estimators': 600, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:04:44,197  trial=081  score=0.9039  params={'n_estimators': 200, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:45,606  trial=082  score=0.9167  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:46,943  trial=083  score=0.9081  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:48,681  trial=084  score=0.9166  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:50,664  trial=085  score=0.9123  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
2025-05-04 17:04:51,982  trial=086  score=0.9081  params={'n_estimators': 300, 'max_depth': 30, 'criterion': 'entropy', 'bootstrap': True}
