2025-05-04 17:22:01,519  trial=036  score=0.6668  params={'n_estimators': 800, 'max_depth': 6, 'learning_rate': 0.033812224000762565, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.7, 'gamma': 2.6004809030355434, 'reg_lambda': 0.3808891146079798, 'reg_alpha': 0.3446393948901538}
2025-05-04 17:22:02,328  trial=037  score=0.7395  params={'n_estimators': 600, 'max_depth': 3, 'learning_rate': 0.04054920088058414, 'min_child_weight': 4, 'subsample': 0.6, 'colsample_bytree': 0.6, 'gamma': 0.5286345174173818, 'reg_lambda': 0.01230889903569228, 'reg_alpha': 0.9050815357514751}
2025-05-04 17:22:03,369  trial=038  score=0.8421  params={'n_estimators': 700, 'max_depth': 8, 'learning_rate': 0.283286019894819, 'min_child_weight': 2, 'subsample': 0.8, 'colsample_bytree': 0.9, 'gamma': 0.03228709487285242, 'reg_lambda': 1.2217154482342043, 'reg_alpha': 0.584131438757052}
2025-05-04 17:22:04,048  trial=039  score=0.7224  params={'n_estimators': 500, 'max_depth': 4, 'learning_rate': 0.05904223474618274, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.9487438613020871, 'reg_lambda': 1.6000678572447686, 'reg_alpha': 0.362838046462934}
2025-05-04 17:22:04,987  trial=040  score=0.4809  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.015534973039654128, 'min_child_weight': 5, 'subsample': 0.7, 'colsample_bytree': 0.6, 'gamma': 2.2644145957520014, 'reg_lambda': 1.0066547815771443, 'reg_alpha': 2.332674026097381}
2025-05-04 17:22:07,011  trial=041  score=0.8805  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.022929161120489663, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.018030064106987743, 'reg_lambda': 0.3030860959179255, 'reg_alpha': 0.22526227321489622}
2025-05-04 17:22:08,608  trial=042  score=0.8399  params={'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.018016321524215985, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.33500579384455387, 'reg_lambda': 0.6188115782705741, 'reg_alpha': 0.20498730149262978}
2025-05-04 17:22:09,438  trial=043  score=0.8462  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.08183738816162542, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.5230913184757978, 'reg_lambda': 0.2525077448685884, 'reg_alpha': 0.00513934903165017}
2025-05-04 17:22:10,721  trial=044  score=0.8228  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.03084144657418601, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.28781972303507297, 'reg_lambda': 0.288065305358999, 'reg_alpha': 0.6757075999486405}
2025-05-04 17:22:11,544  trial=045  score=0.7009  params={'n_estimators': 500, 'max_depth': 6, 'learning_rate': 0.021435027214627964, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 1.135399466972771, 'reg_lambda': 0.4836285577681727, 'reg_alpha': 1.0842752663146107}
2025-05-04 17:22:12,705  trial=046  score=0.7695  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.03958071072435305, 'min_child_weight': 2, 'subsample': 0.7, 'colsample_bytree': 0.6, 'gamma': 0.6575772194488405, 'reg_lambda': 3.4398133347357702, 'reg_alpha': 0.22045400734293946}
2025-05-04 17:22:13,190  trial=047  score=0.4167  params={'n_estimators': 400, 'max_depth': 7, 'learning_rate': 0.04841660240374139, 'min_child_weight': 3, 'subsample': 0.8, 'colsample_bytree': 0.7, 'gamma': 4.101342189722521, 'reg_lambda': 0.816451293205273, 'reg_alpha': 4.604086050865724}
2025-05-04 17:22:14,299  trial=048  score=0.7288  params={'n_estimators': 700, 'max_depth': 10, 'learning_rate': 0.13616503234712274, 'min_child_weight': 6, 'subsample': 0.6, 'colsample_bytree': 1.0, 'gamma': 0.024511147157986628, 'reg_lambda': 1.8489539649786113, 'reg_alpha': 2.9304876136287628}
2025-05-04 17:22:15,109  trial=049  score=0.6241  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.024086348815460994, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'gamma': 2.921478234975604, 'reg_lambda': 0.15626845453575594, 'reg_alpha': 0.5062468455545094}
2025-05-04 17:22:16,002  trial=050  score=0.6003  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.029778217404448408, 'min_child_weight': 10, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 1.3839091985027823, 'reg_lambda': 1.0965085241521448, 'reg_alpha': 0.20502744511101612}
2025-05-04 17:22:17,567  trial=051  score=0.8293  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.02365217825613399, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.1738128704508825, 'reg_lambda': 0.4094909294854456, 'reg_alpha': 0.4995488255714871}
2025-05-04 17:22:19,642  trial=052  score=0.8655  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.01860112818201139, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.010416074793454317, 'reg_lambda': 0.7473277361468134, 'reg_alpha': 0.21841527788981122}
2025-05-04 17:22:21,125  trial=053  score=0.8250  params={'n_estimators': 700, 'max_depth': 6, 'learning_rate': 0.019181846520643326, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.3465264486603185, 'reg_lambda': 0.82818473502328, 'reg_alpha': 0.18949936522022148}
2025-05-04 17:22:22,764  trial=054  score=0.8058  params={'n_estimators': 600, 'max_depth': 4, 'learning_rate': 0.013363792545976753, 'min_child_weight': 1, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.002180405216625106, 'reg_lambda': 0.6835272005437029, 'reg_alpha': 0.8121635929266446}
2025-05-04 17:22:24,194  trial=055  score=0.8272  params={'n_estimators': 800, 'max_depth': 5, 'learning_rate': 0.017846429862479432, 'min_child_weight': 2, 'subsample': 0.6, 'colsample_bytree': 0.7, 'gamma': 0.6416034025665158, 'reg_lambda': 0.0031327882041035093, 'reg_alpha': 0.02233121001217883}
2025-05-04 17:22:25,222  trial=056  score=0.8164  params={'n_estimators': 600, 'max_depth': 6, 'learning_rate': 0.03260144590471062, 'min_child_weight': 1, 'subsample': 0.8, 'colsample_bytree': 0.6, 'gamma': 0.22889747717305758, 'reg_lambda': 0.21595931067367172, 'reg_alpha': 0.9955547910618914}
2025-05-04 17:22:26,159  trial=057  score=0.7181  params={'n_estimators': 700, 'max_depth': 5, 'learning_rate': 0.06501432475682194, 'min_child_weight': 3, 'subsample': 0.6, 'colsample_bytree': 0.8, 'gamma': 0.9950908294817168, 'reg_lambda': 0.5223777855092373, 'reg_alpha': 0.6433627617487017}
2025-05-04 17:22:27,564  trial=058  score=0.7693  params={'n_estimators': 800, 'max_depth': 3, 'learning_rate': 0.010131709163838003, 'min_child_weight': 2, 'subsample': 1.0, 'colsample_bytree': 0.7, 'gamma': 0.42536629562112, 'reg_lambda': 0.14911174566813545, 'reg_alpha': 0.34028049202838795}
2025-05-04 17:22:27,865  trial=059  score=0.6345  params={'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.04084921788174231, 'min_child_weight': 1, 'subsample': 0.7, 'colsample_bytree': 0.6, 'gamma': 0.7581026926381066, 'reg_lambda': 1.4415555803872775, 'reg_alpha': 1.8885068407730596}
