2025-05-04 17:25:41,544  trial=074  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:42,147  trial=075  score=0.6750  params={'n_estimators': 400, 'max_depth': 5, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:43,011  trial=076  score=0.9338  params={'n_estimators': 400, 'max_depth': None, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:44,066  trial=077  score=0.9381  params={'n_estimators': 500, 'max_depth': 50, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:44,760  trial=078  score=0.9338  params={'n_estimators': 300, 'max_depth': 25, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:45,895  trial=079  score=0.9252  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:25:46,792  trial=080  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:47,739  trial=081  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:48,635  trial=082  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:49,291  trial=083  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:50,154  trial=084  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:50,851  trial=085  score=0.9338  params={'n_estimators': 300, 'max_depth': 40, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:51,893  trial=086  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:52,782  trial=087  score=0.9338  params={'n_estimators': 400, 'max_depth': 30, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:53,732  trial=088  score=0.9359  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'entropy', 'bootstrap': False}
2025-05-04 17:25:54,408  trial=089  score=0.9338  params={'n_estimators': 300, 'max_depth': 35, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:54,873  trial=090  score=0.9316  params={'n_estimators': 200, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:55,778  trial=091  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:56,662  trial=092  score=0.9338  params={'n_estimators': 400, 'max_depth': 45, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:57,778  trial=093  score=0.9381  params={'n_estimators': 500, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:58,683  trial=094  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:25:59,359  trial=095  score=0.9338  params={'n_estimators': 300, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:26:00,441  trial=096  score=0.9381  params={'n_estimators': 500, 'max_depth': 20, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:26:01,288  trial=097  score=0.9038  params={'n_estimators': 400, 'max_depth': 10, 'criterion': 'gini', 'bootstrap': True}
2025-05-04 17:26:02,162  trial=098  score=0.9423  params={'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:26:03,423  trial=099  score=0.9381  params={'n_estimators': 600, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:26:03,424  Best params: {'n_estimators': 400, 'max_depth': 15, 'criterion': 'gini', 'bootstrap': False}
2025-05-04 17:26:03,424  Best score : 0.9423
